soc_code,occupation_title,Oral Comprehension,Written Comprehension,Oral Expression,Written Expression,Fluency of Ideas,Originality,Problem Sensitivity,Deductive Reasoning,Inductive Reasoning,Information Ordering,Category Flexibility,Mathematical Reasoning,Number Facility,Memorization,Speed of Closure,Flexibility of Closure,Perceptual Speed,Spatial Orientation,Visualization,Selective Attention,Time Sharing
47-2040,Flooring installers and tile and stone setters,3.22,2.72,3.09,2.47,2.41,2.41,3.28,2.97,2.91,3.06,2.78,2.28,2.31,1.88,1.94,2.56,2.53,1.88,3.12,2.91,2.41
27-1023,Floral designers,4.0,3.0,4.0,2.88,3.38,3.62,2.88,3.12,2.88,3.25,3.5,2.25,2.12,2.0,2.25,2.25,2.25,1.62,3.88,3.0,2.25
35-2021,Food preparation workers,2.88,2.5,3.12,2.25,2.0,2.0,2.88,2.75,2.75,3.0,2.75,2.0,2.0,2.0,2.0,2.0,2.12,1.5,2.12,2.75,2.38
11-9051,Food service managers,4.0,3.75,4.0,3.38,2.75,2.75,3.88,3.62,3.25,3.25,3.0,2.88,3.0,2.62,2.75,2.5,2.62,1.0,2.38,3.0,2.88
19-4092,Forensic science technicians,4.0,4.0,3.88,3.75,3.12,3.0,3.75,4.0,4.12,3.75,3.5,2.75,2.62,2.62,3.25,4.12,3.38,1.88,3.12,3.0,2.88
45-4011,Forest and conservation workers,3.5,3.12,3.5,3.0,2.88,2.75,3.62,3.38,3.12,3.38,3.12,2.25,2.62,2.12,2.5,3.12,3.0,2.88,2.88,3.0,2.88
13-1131,Fundraisers,4.0,3.88,4.25,4.12,3.38,3.38,3.62,3.75,3.62,3.25,3.12,2.62,2.75,2.38,2.25,2.5,2.12,1.12,2.25,2.88,2.75
49-9071,General maintenance and repair workers,3.12,3.0,3.0,2.88,2.25,2.12,3.62,3.12,3.12,3.62,3.0,2.12,2.12,2.12,2.62,3.12,3.12,2.12,3.38,3.12,2.25
43-9061,General office clerks,3.75,3.75,3.88,3.62,2.75,2.12,3.12,3.0,3.0,3.12,3.0,2.75,2.62,2.12,2.12,2.62,2.62,1.0,2.12,3.0,2.88
29-9092,Genetic counselors,4.0,4.25,4.0,4.0,3.12,3.12,4.0,4.12,4.0,3.88,3.12,3.12,2.88,2.88,2.88,3.12,2.88,1.0,2.62,3.0,2.75
19-3092,Geographers,4.0,4.0,4.0,4.0,3.38,3.25,3.75,4.0,4.0,3.75,3.75,3.0,3.0,2.62,2.25,3.25,2.75,1.0,2.88,2.88,2.62
19-2042,Geoscientists,4.0,4.0,4.0,4.0,3.38,3.12,4.0,4.0,4.12,3.62,4.0,3.62,3.25,2.38,2.62,3.12,3.0,1.88,3.0,3.0,2.25
47-2121,Glaziers,3.0,3.0,2.88,2.38,2.25,2.25,3.12,3.0,3.0,3.25,2.75,2.38,2.25,1.88,2.0,2.12,2.25,2.12,2.88,2.75,2.12
27-1024,Graphic designers,3.75,3.75,3.75,3.5,3.88,4.0,3.12,3.25,3.12,3.12,3.25,2.0,2.0,2.0,2.12,2.75,2.62,1.0,3.38,3.0,2.5
47-4041,Hazardous materials removal workers,3.88,3.25,3.62,3.5,2.88,2.75,4.0,3.5,3.38,3.38,3.5,2.38,2.5,2.62,2.75,3.0,3.0,2.12,3.25,3.12,2.88
17-2111,Health and safety engineers,3.92,3.96,3.96,3.87,3.33,3.25,4.12,4.0,4.0,3.79,3.63,3.21,2.83,2.67,2.83,3.63,3.12,1.71,3.29,3.04,2.45
21-1091,Health education specialists,4.0,4.0,4.38,4.0,3.12,3.12,3.75,3.5,3.88,3.0,3.0,2.12,2.12,2.0,2.25,2.5,2.38,1.38,2.38,2.88,2.5
